"company_name","product_name","unit_price","quantity","order_date","required_date","shipped_date","freight","contact_name","contact_title"
"Ana Trujillo Emparedados y helados","Tofu",23.25,3,"1997-08-08","1997-09-05","1997-08-14",43.9,"Ana Trujillo","Owner"
"Antonio Moreno Taquería","Chocolade",12.75,15,"1997-04-15","1997-05-13","1997-04-22",47.45,"Antonio Moreno","Owner"
"Antonio Moreno Taquería","Ipoh Coffee",46,15,"1997-04-15","1997-05-13","1997-04-22",47.45,"Antonio Moreno","Owner"
"Antonio Moreno Taquería","Ravioli Angelo",19.5,5,"1997-05-13","1997-06-10","1997-05-21",15.64,"Antonio Moreno","Owner"
"Antonio Moreno Taquería","Geitost",2.5,8,"1997-09-22","1997-10-20","1997-09-26",4.03,"Antonio Moreno","Owner"
"Antonio Moreno Taquería","Louisiana Hot Spiced Okra",17,4,"1997-09-25","1997-10-23","1997-10-01",36.13,"Antonio Moreno","Owner"
"Antonio Moreno Taquería","Geitost",2.5,30,"1997-09-25","1997-10-23","1997-10-01",36.13,"Antonio Moreno","Owner"
"Antonio Moreno Taquería","Rhönbräu Klosterbier",7.75,30,"1997-09-25","1997-10-23","1997-10-01",36.13,"Antonio Moreno","Owner"
"Antonio Moreno Taquería","Queso Cabrales",21,50,"1997-05-13","1997-06-10","1997-05-21",15.64,"Antonio Moreno","Owner"
"Antonio Moreno Taquería","Singaporean Hokkien Fried Mee",14,20,"1998-01-28","1998-02-25","1998-02-10",58.43,"Antonio Moreno","Owner"
"Antonio Moreno Taquería","Chang",19,20,"1998-01-28","1998-02-25","1998-02-10",58.43,"Antonio Moreno","Owner"
"Antonio Moreno Taquería","Raclette Courdavault",55,15,"1997-05-13","1997-06-10","1997-05-21",15.64,"Antonio Moreno","Owner"
"Antonio Moreno Taquería","Boston Crab Meat",18.4,10,"1997-05-13","1997-06-10","1997-05-21",15.64,"Antonio Moreno","Owner"
"Antonio Moreno Taquería","Sasquatch Ale",14,40,"1997-06-19","1997-07-17","1997-06-20",84.84,"Antonio Moreno","Owner"
"Antonio Moreno Taquería","Perth Pasties",32.8,25,"1997-06-19","1997-07-17","1997-06-20",84.84,"Antonio Moreno","Owner"
"Antonio Moreno Taquería","Alice Mutton",39,18,"1997-06-19","1997-07-17","1997-06-20",84.84,"Antonio Moreno","Owner"
"Antonio Moreno Taquería","Queso Cabrales",16.8,24,"1996-11-27","1996-12-25","1996-12-02",22,"Antonio Moreno","Owner"
"Antonio Moreno Taquería","Gumbär Gummibärchen",31.23,30,"1997-09-22","1997-10-20","1997-09-26",4.03,"Antonio Moreno","Owner"
"Around the Horn","Gorgonzola Telino",12.5,50,"1997-12-08","1998-01-05","1997-12-15",146.32,"Thomas Hardy","Sales Representative"
"Around the Horn","Perth Pasties",32.8,18,"1997-06-04","1997-07-02","1997-06-10",72.97,"Thomas Hardy","Sales Representative"
"Around the Horn","Filo Mix",7,30,"1997-06-04","1997-07-02","1997-06-10",72.97,"Thomas Hardy","Sales Representative"
"Around the Horn","Manjimup Dried Apples",53,20,"1997-06-04","1997-07-02","1997-06-10",72.97,"Thomas Hardy","Sales Representative"
"Around the Horn","Gustaf's Knäckebröd",21,4,"1997-12-08","1998-01-05","1997-12-15",146.32,"Thomas Hardy","Sales Representative"
"Around the Horn","Zaanse koeken",9.5,25,"1997-06-04","1997-07-02","1997-06-10",72.97,"Thomas Hardy","Sales Representative"
"Around the Horn","Gorgonzola Telino",12.5,15,"1998-04-10","1998-05-08","1998-04-13",33.8,"Thomas Hardy","Sales Representative"
"Around the Horn","Jack's New England Clam Chowder",9.65,14,"1997-12-24","1998-01-21","1998-01-08",4.52,"Thomas Hardy","Sales Representative"
"Around the Horn","Filo Mix",7,8,"1997-12-24","1998-01-21","1998-01-08",4.52,"Thomas Hardy","Sales Representative"
"Around the Horn","Ravioli Angelo",15.6,25,"1996-11-15","1996-12-13","1996-11-20",41.95,"Thomas Hardy","Sales Representative"
"Around the Horn","Guaraná Fantástica",3.6,25,"1996-11-15","1996-12-13","1996-11-20",41.95,"Thomas Hardy","Sales Representative"
"Around the Horn","Gnocchi di nonna Alice",30.4,20,"1996-12-16","1997-01-13","1996-12-18",34.24,"Thomas Hardy","Sales Representative"
"Around the Horn","Gorgonzola Telino",12.5,50,"1998-03-16","1998-03-30","1998-03-25",23.72,"Thomas Hardy","Sales Representative"
"Around the Horn","Sir Rodney's Marmalade",81,50,"1998-03-16","1998-03-30","1998-03-25",23.72,"Thomas Hardy","Sales Representative"
"Around the Horn","Valkoinen suklaa",13,15,"1996-12-16","1997-01-13","1996-12-18",34.24,"Thomas Hardy","Sales Representative"
"Around the Horn","Ravioli Angelo",19.5,40,"1997-10-16","1997-10-30","1997-10-23",21.74,"Thomas Hardy","Sales Representative"
"Around the Horn","Outback Lager",15,28,"1997-10-16","1997-10-30","1997-10-23",21.74,"Thomas Hardy","Sales Representative"
"Around the Horn","Inlagd Sill",19,16,"1998-04-10","1998-05-08","1998-04-13",33.8,"Thomas Hardy","Sales Representative"
"Around the Horn","Chang",19,15,"1997-11-14","1997-11-28","1997-11-18",10.96,"Thomas Hardy","Sales Representative"
"Around the Horn","Steeleye Stout",18,4,"1998-02-02","1998-03-02","1998-02-09",3.04,"Thomas Hardy","Sales Representative"
"Around the Horn","Konbu",4.8,20,"1996-12-16","1997-01-13","1996-12-18",34.24,"Thomas Hardy","Sales Representative"
"Around the Horn","Chocolade",10.2,15,"1997-02-21","1997-03-21","1997-02-26",25.36,"Thomas Hardy","Sales Representative"
"Around the Horn","Outback Lager",12,25,"1997-02-21","1997-03-21","1997-02-26",25.36,"Thomas Hardy","Sales Representative"
"Around the Horn","Valkoinen suklaa",16.25,24,"1998-03-03","1998-03-31","1998-03-09",29.61,"Thomas Hardy","Sales Representative"
"Around the Horn","Laughing Lumberjack Lager",14,15,"1998-02-02","1998-03-02","1998-02-09",3.04,"Thomas Hardy","Sales Representative"
"Around the Horn","Spegesild",12,28,"1997-11-17","1997-12-15","1997-11-21",23.72,"Thomas Hardy","Sales Representative"
"Around the Horn","Flotemysost",21.5,12,"1997-12-08","1998-01-05","1997-12-15",146.32,"Thomas Hardy","Sales Representative"
"Around the Horn","Pâté chinois",24,21,"1997-10-16","1997-10-30","1997-10-23",21.74,"Thomas Hardy","Sales Representative"
"Around the Horn","Camembert Pierrot",34,15,"1997-12-08","1998-01-05","1997-12-15",146.32,"Thomas Hardy","Sales Representative"
"Around the Horn","Röd Kaviar",15,3,"1997-06-04","1997-07-02","1997-06-10",72.97,"Thomas Hardy","Sales Representative"
"B's Beverages","Gustaf's Knäckebröd",21,21,"1998-03-11","1998-04-08","1998-03-19",2.17,"Victoria Ashworth","Sales Representative"
"B's Beverages","Mozzarella di Giovanni",34.8,1,"1997-05-15","1997-06-12","1997-05-16",4.87,"Victoria Ashworth","Sales Representative"
"B's Beverages","Konbu",6,15,"1998-03-11","1998-04-08","1998-03-19",2.17,"Victoria Ashworth","Sales Representative"
"B's Beverages","Raclette Courdavault",55,4,"1998-03-13","1998-04-10","1998-03-16",3.26,"Victoria Ashworth","Sales Representative"
"B's Beverages","Manjimup Dried Apples",42.4,3,"1997-03-24","1997-04-21","1997-04-01",6.88,"Victoria Ashworth","Sales Representative"
"B's Beverages","Boston Crab Meat",14.7,10,"1997-03-24","1997-04-21","1997-04-01",6.88,"Victoria Ashworth","Sales Representative"
"B's Beverages","Sir Rodney's Scones",8,14,"1997-03-24","1997-04-21","1997-04-01",6.88,"Victoria Ashworth","Sales Representative"
"B's Beverages","Ravioli Angelo",19.5,6,"1997-06-24","1997-07-22","1997-07-25",29.6,"Victoria Ashworth","Sales Representative"
"B's Beverages","Gnocchi di nonna Alice",30.4,20,"1997-03-11","1997-04-08","1997-03-18",45.59,"Victoria Ashworth","Sales Representative"
"B's Beverages","Uncle Bob's Organic Dried Pears",24,30,"1997-03-11","1997-04-08","1997-03-18",45.59,"Victoria Ashworth","Sales Representative"
"B's Beverages","Steeleye Stout",18,20,"1997-06-24","1997-07-22","1997-07-25",29.6,"Victoria Ashworth","Sales Representative"
"B's Beverages","Wimmers gute Semmelknödel",26.6,9,"1996-08-26","1996-09-23","1996-08-28",22.77,"Victoria Ashworth","Sales Representative"
"B's Beverages","Aniseed Syrup",8,30,"1996-08-26","1996-09-23","1996-08-28",22.77,"Victoria Ashworth","Sales Representative"
"B's Beverages","Tarte au sucre",49.3,10,"1997-07-15","1997-08-26","1997-07-21",29.98,"Victoria Ashworth","Sales Representative"
"B's Beverages","Maxilaku",20,6,"1997-05-16","1997-06-13","1997-05-23",12.36,"Victoria Ashworth","Sales Representative"
"B's Beverages","Geitost",2.5,15,"1997-05-16","1997-06-13","1997-05-23",12.36,"Victoria Ashworth","Sales Representative"
"B's Beverages","Sir Rodney's Scones",10,15,"1997-05-16","1997-06-13","1997-05-23",12.36,"Victoria Ashworth","Sales Representative"
"B's Beverages","Outback Lager",15,7,"1997-05-15","1997-06-12","1997-05-16",4.87,"Victoria Ashworth","Sales Representative"
"B's Beverages","Uncle Bob's Organic Dried Pears",30,4,"1998-04-14","1998-04-28","1998-04-24",123.83,"Victoria Ashworth","Sales Representative"
"B's Beverages","Ipoh Coffee",46,30,"1998-04-14","1998-04-28","1998-04-24",123.83,"Victoria Ashworth","Sales Representative"
"B's Beverages","Konbu",6,8,"1997-05-16","1997-06-13","1997-05-23",12.36,"Victoria Ashworth","Sales Representative"
"B's Beverages","Spegesild",12,15,"1998-03-11","1998-04-08","1998-03-19",2.17,"Victoria Ashworth","Sales Representative"
"Berglunds snabbköp","Filo Mix",7,25,"1997-11-07","1997-12-05","1997-11-10",110.11,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Alice Mutton",31.2,10,"1997-02-12","1997-03-12","1997-02-21",3.5,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Konbu",6,6,"1998-01-16","1998-02-13","1998-01-23",13.32,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Boston Crab Meat",18.4,25,"1998-01-16","1998-02-13","1998-01-23",13.32,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Zaanse koeken",9.5,40,"1998-01-16","1998-02-13","1998-01-23",13.32,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Lakkalikööri",18,21,"1998-01-16","1998-02-13","1998-01-23",13.32,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Rhönbräu Klosterbier",7.75,15,"1997-06-18","1997-07-16","1997-06-25",116.43,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Boston Crab Meat",18.4,50,"1997-06-18","1997-07-16","1997-06-25",116.43,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Mascarpone Fabioli",32,10,"1997-06-18","1997-07-16","1997-06-25",116.43,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Pavlova",17.45,12,"1997-06-18","1997-07-16","1997-06-25",116.43,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Ikura",31,20,"1998-03-04","1998-04-01","1998-04-08",151.52,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Gula Malacca",15.5,16,"1996-08-12","1996-09-09","1996-08-16",92.69,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Raclette Courdavault",44,15,"1996-08-12","1996-09-09","1996-08-16",92.69,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Vegie-spread",35.1,8,"1996-08-12","1996-09-09","1996-08-16",92.69,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Röd Kaviar",12,25,"1996-08-12","1996-09-09","1996-08-16",92.69,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Guaraná Fantástica",3.6,12,"1996-08-14","1996-09-11","1996-09-12",8.98,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Pâté chinois",19.2,20,"1996-08-14","1996-09-11","1996-09-12",8.98,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Rhönbräu Klosterbier",6.2,30,"1996-08-14","1996-09-11","1996-09-12",8.98,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Rössle Sauerkraut",45.6,30,"1998-03-04","1998-04-01","1998-04-08",151.52,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Rhönbräu Klosterbier",7.75,6,"1998-03-04","1998-04-01","1998-04-08",151.52,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Côte de Blaye",263.5,15,"1997-09-17","1997-10-01","1997-09-26",95.75,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Flotemysost",21.5,12,"1997-09-17","1997-10-01","1997-09-26",95.75,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Nord-Ost Matjeshering",25.89,40,"1998-02-03","1998-03-03","1998-02-12",109.11,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Guaraná Fantástica",4.5,6,"1998-02-03","1998-03-03","1998-02-12",109.11,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Tourtière",7.45,15,"1997-05-01","1997-05-29","1997-05-07",244.79,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Ipoh Coffee",46,60,"1997-05-01","1997-05-29","1997-05-07",244.79,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Nord-Ost Matjeshering",25.89,10,"1997-05-01","1997-05-29","1997-05-07",244.79,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Ikura",31,2,"1997-05-01","1997-05-29","1997-05-07",244.79,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Chang",19,21,"1998-02-03","1998-03-03","1998-02-12",109.11,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Jack's New England Clam Chowder",9.65,10,"1997-12-16","1998-01-13","1997-12-24",6.79,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Perth Pasties",32.8,12,"1997-08-11","1997-09-08","1997-08-20",138.69,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Camembert Pierrot",34,20,"1997-08-11","1997-09-08","1997-08-20",138.69,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Flotemysost",21.5,20,"1997-08-11","1997-09-08","1997-08-20",138.69,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Chai",18,35,"1997-10-01","1997-10-29","1997-10-07",13.42,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Rössle Sauerkraut",45.6,20,"1997-11-07","1997-12-05","1997-11-10",110.11,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Tofu",23.25,16,"1997-11-07","1997-12-05","1997-11-10",110.11,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Thüringer Rostbratwurst",123.79,10,"1998-01-28","1998-02-25","1998-02-06",188.85,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Gumbär Gummibärchen",31.23,35,"1998-01-28","1998-02-25","1998-02-06",188.85,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Aniseed Syrup",10,30,"1998-01-28","1998-02-25","1998-02-06",188.85,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Maxilaku",20,15,"1998-02-06","1998-03-06","1998-03-03",32.37,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Zaanse koeken",9.5,21,"1998-02-06","1998-03-06","1998-03-03",32.37,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Teatime Chocolate Biscuits",9.2,25,"1998-02-06","1998-03-06","1998-03-03",32.37,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Sir Rodney's Marmalade",64.8,28,"1996-12-16","1997-01-13","1996-12-20",168.64,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Camembert Pierrot",27.2,15,"1996-12-16","1997-01-13","1996-12-20",168.64,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Tourtière",5.9,15,"1997-02-13","1997-03-13","1997-02-20",9.3,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Chartreuse verte",14.4,6,"1997-02-13","1997-03-13","1997-02-20",9.3,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Jack's New England Clam Chowder",7.7,30,"1997-02-12","1997-03-12","1997-02-21",3.5,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Steeleye Stout",14.4,8,"1997-02-12","1997-03-12","1997-02-21",3.5,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Chef Anton's Cajun Seasoning",22,12,"1997-09-02","1997-09-30","1997-09-11",55.26,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Chartreuse verte",18,20,"1997-09-02","1997-09-30","1997-09-11",55.26,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Gumbär Gummibärchen",24.9,15,"1997-02-12","1997-03-12","1997-02-21",3.5,"Christina Berglund","Order Administrator"
"Berglunds snabbköp","Tourtière",7.45,6,"1997-09-02","1997-09-30","1997-09-11",55.26,"Christina Berglund","Order Administrator"
"Blauer See Delikatessen","Sirop d'érable",28.5,4,"1998-04-29","1998-05-27",NULL,31.14,"Hanna Moos","Sales Representative"
"Blauer See Delikatessen","Sir Rodney's Scones",10,12,"1998-03-17","1998-04-28","1998-03-20",44.65,"Hanna Moos","Sales Representative"
"Blauer See Delikatessen","Lakkalikööri",18,14,"1997-06-27","1997-07-25","1997-07-14",27.71,"Hanna Moos","Sales Representative"
"Blauer See Delikatessen","Chartreuse verte",18,5,"1997-07-29","1997-08-26","1997-08-01",1.93,"Hanna Moos","Sales Representative"
"Blauer See Delikatessen","Ravioli Angelo",19.5,4,"1997-06-27","1997-07-25","1997-07-14",27.71,"Hanna Moos","Sales Representative"
"Blauer See Delikatessen","Camembert Pierrot",34,21,"1998-04-29","1998-05-27",NULL,31.14,"Hanna Moos","Sales Representative"
"Blauer See Delikatessen","Sir Rodney's Scones",10,3,"1998-04-29","1998-05-27",NULL,31.14,"Hanna Moos","Sales Representative"
"Blauer See Delikatessen","Carnarvon Tigers",62.5,10,"1998-01-27","1998-02-24","1998-02-03",53.83,"Hanna Moos","Sales Representative"
"Blauer See Delikatessen","Tourtière",7.45,20,"1997-04-09","1997-05-07","1997-04-16",8.85,"Hanna Moos","Sales Representative"
"Blauer See Delikatessen","Queso Cabrales",21,14,"1997-07-29","1997-08-26","1997-08-01",1.93,"Hanna Moos","Sales Representative"
"Blauer See Delikatessen","Rössle Sauerkraut",45.6,3,"1997-04-17","1997-05-15","1997-04-29",0.15,"Hanna Moos","Sales Representative"
"Blauer See Delikatessen","Manjimup Dried Apples",53,8,"1998-03-17","1998-04-28","1998-03-20",44.65,"Hanna Moos","Sales Representative"
"Blauer See Delikatessen","Zaanse koeken",9.5,14,"1998-03-17","1998-04-28","1998-03-20",44.65,"Hanna Moos","Sales Representative"
"Blauer See Delikatessen","Sir Rodney's Scones",10,8,"1997-07-29","1997-08-26","1997-08-01",1.93,"Hanna Moos","Sales Representative"
"Blondesddsl père et fils","Alice Mutton",31.2,30,"1996-07-25","1996-08-22","1996-08-12",55.28,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Gorgonzola Telino",12.5,35,"1998-01-12","1998-02-09","1998-02-06",7.09,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Jack's New England Clam Chowder",9.65,12,"1997-06-05","1997-07-03","1997-06-13",8.05,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Pâté chinois",24,18,"1997-06-05","1997-07-03","1997-06-13",8.05,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Mozzarella di Giovanni",27.8,20,"1996-09-04","1996-10-16","1996-09-10",5.74,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Ravioli Angelo",19.5,15,"1998-01-12","1998-02-09","1998-02-06",7.09,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Chartreuse verte",14.4,60,"1996-09-04","1996-10-16","1996-09-10",5.74,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Queso Cabrales",21,35,"1997-06-12","1997-07-10","1997-06-18",88.4,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Spegesild",9.6,5,"1997-02-05","1997-03-05","1997-02-11",156.66,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Gnocchi di nonna Alice",30.4,40,"1997-02-05","1997-03-05","1997-02-11",156.66,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Wimmers gute Semmelknödel",26.6,30,"1997-02-05","1997-03-05","1997-02-11",156.66,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Rhönbräu Klosterbier",6.2,24,"1997-02-05","1997-03-05","1997-02-11",156.66,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Carnarvon Tigers",62.5,18,"1997-06-12","1997-07-10","1997-06-18",88.4,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Lakkalikööri",18,10,"1997-06-12","1997-07-10","1997-06-18",88.4,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Raclette Courdavault",55,12,"1997-09-23","1997-10-21","1997-09-30",27.94,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Tarte au sucre",39.4,35,"1997-02-18","1997-03-18","1997-02-27",53.3,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Filo Mix",5.6,20,"1997-02-18","1997-03-18","1997-02-27",53.3,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Ikura",24.8,14,"1997-02-18","1997-03-18","1997-02-27",53.3,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Chai",18,25,"1997-08-12","1997-09-09","1997-08-20",30.36,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Outback Lager",12,20,"1996-07-25","1996-08-22","1996-08-12",55.28,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Gorgonzola Telino",12.5,50,"1997-06-30","1997-07-28","1997-07-04",59.14,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Rössle Sauerkraut",36.4,30,"1996-11-22","1996-12-20","1996-12-02",131.7,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Thüringer Rostbratwurst",99,35,"1996-11-22","1996-12-20","1996-12-02",131.7,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Côte de Blaye",210.8,10,"1996-11-22","1996-12-20","1996-12-02",131.7,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Maxilaku",16,35,"1996-11-22","1996-12-20","1996-12-02",131.7,"Frédérique Citeaux","Marketing Manager"
"Blondesddsl père et fils","Tourtière",5.9,28,"1996-11-22","1996-12-20","1996-12-02",131.7,"Frédérique Citeaux","Marketing Manager"
"Bólido Comidas preparadas","Filo Mix",7,40,"1998-03-24","1998-04-07","1998-04-24",16.16,"Martín Sommer","Owner"
"Bólido Comidas preparadas","Alice Mutton",39,40,"1997-12-29","1998-01-26","1997-12-31",97.09,"Martín Sommer","Owner"
"Bólido Comidas preparadas","Rhönbräu Klosterbier",6.2,50,"1996-10-10","1996-11-07","1996-10-14",77.92,"Martín Sommer","Owner"
"Bólido Comidas preparadas","Ravioli Angelo",15.6,16,"1996-10-10","1996-11-07","1996-10-14",77.92,"Martín Sommer","Owner"
"Bólido Comidas preparadas","Chef Anton's Cajun Seasoning",17.6,24,"1996-10-10","1996-11-07","1996-10-14",77.92,"Martín Sommer","Owner"
"Bólido Comidas preparadas","Thüringer Rostbratwurst",123.79,20,"1997-12-29","1998-01-26","1997-12-31",97.09,"Martín Sommer","Owner"
"Bon app'","Ikura",31,21,"1997-10-23","1997-11-06","1997-10-29",63.2,"Laurence Lebihan","Owner"
"Bon app'","Lakkalikööri",18,20,"1997-11-06","1997-12-04","1997-11-07",16.97,"Laurence Lebihan","Owner"
"Bon app'","Boston Crab Meat",18.4,15,"1997-05-02","1997-05-30","1997-05-23",11.06,"Laurence Lebihan","Owner"
"Bon app'","Inlagd Sill",19,30,"1997-05-02","1997-05-30","1997-05-23",11.06,"Laurence Lebihan","Owner"
"Bon app'","Tunnbröd",7.2,15,"1997-03-11","1997-04-08","1997-03-14",64.56,"Laurence Lebihan","Owner"
"Bon app'","Uncle Bob's Organic Dried Pears",30,8,"1998-03-11","1998-04-08","1998-03-23",19.77,"Laurence Lebihan","Owner"
"Bon app'","Konbu",6,20,"1998-03-11","1998-04-08","1998-03-23",19.77,"Laurence Lebihan","Owner"
"Bon app'","Singaporean Hokkien Fried Mee",14,30,"1997-09-10","1997-09-24","1997-10-03",113.15,"Laurence Lebihan","Owner"
"Bon app'","Tourtière",5.9,15,"1996-10-16","1996-11-27","1996-10-21",10.19,"Laurence Lebihan","Owner"
"Bon app'","Grandma's Boysenberry Spread",25,20,"1998-05-06","1998-06-03",NULL,38.28,"Laurence Lebihan","Owner"
